Index,Date,Open,High,Low,Close,Adj Close,Volume
NASDAQ Composite,2/22/2018,7252.459961,7280.930176,7194.839844,7210.089844,7210.089844,1927580000
NASDAQ Composite,2/23/2018,7261.350098,7337.830078,7232.5,7337.390137,7337.390137,1887540000
NASDAQ Composite,2/26/2018,7373.299805,7421.850098,7360.25,7421.459961,7421.459961,1876560000
NASDAQ Composite,2/27/2018,7416.169922,7438.089844,7330.350098,7330.350098,7330.350098,2162250000
NASDAQ Composite,2/28/2018,7371.410156,7386.799805,7273.009766,7273.009766,7273.009766,2384940000
NASDAQ Composite,3/1/2018,7274.75,7307.850098,7117.660156,7180.560059,7180.560059,2499010000
NASDAQ Composite,3/2/2018,7099.540039,7267.189941,7084.830078,7257.870117,7257.870117,2291480000
NASDAQ Composite,3/5/2018,7222.890137,7350.069824,7205.310059,7330.709961,7330.709961,2076870000
NASDAQ Composite,3/6/2018,7366.609863,7378.029785,7319.680176,7372.009766,7372.009766,2132920000
NASDAQ Composite,3/7/2018,7311.740234,7403.790039,7311.740234,7396.649902,7396.649902,2198610000
NASDAQ Composite,3/8/2018,7422.77002,7435.009766,7391.5,7427.950195,7427.950195,2277740000
NASDAQ Composite,3/9/2018,7475.97998,7560.810059,7469.029785,7560.810059,7560.810059,2310050000
NASDAQ Composite,3/12/2018,7581.040039,7609.100098,7563.439941,7588.319824,7588.319824,2314480000
NASDAQ Composite,3/13/2018,7627.52002,7637.27002,7492.97998,7511.009766,7511.009766,2459220000
NASDAQ Composite,3/14/2018,7539.779785,7544.890137,7473.899902,7496.810059,7496.810059,2112950000
NASDAQ Composite,3/15/2018,7509.240234,7525.439941,7463.189941,7481.740234,7481.740234,2008290000
NASDAQ Composite,3/16/2018,7504.370117,7514.209961,7473.680176,7481.990234,7481.990234,3089970000
NASDAQ Composite,3/19/2018,7419.200195,7421.22998,7285.27002,7344.240234,7344.240234,2352810000
NASDAQ Composite,3/20/2018,7353.25,7380.740234,7331.240234,7364.299805,7364.299805,1976000000
NASDAQ Composite,3/21/2018,7347.5,7415.660156,7325.350098,7345.290039,7345.290039,1999230000
NASDAQ Composite,3/22/2018,7257.549805,7303.189941,7164.379883,7166.680176,7166.680176,2370970000
NASDAQ Composite,3/23/2018,7170.680176,7194.310059,6992.669922,6992.669922,6992.669922,2455760000
NASDAQ Composite,3/26/2018,7125.200195,7225.830078,7022.339844,7220.540039,7220.540039,2341370000
NASDAQ Composite,3/27/2018,7255.470215,7255.540039,6963.680176,7008.810059,7008.810059,2347480000
NASDAQ Composite,3/28/2018,6978.299805,7036.089844,6901.069824,6949.22998,6949.22998,2551950000
NASDAQ Composite,3/29/2018,6984.660156,7120.459961,6935.779785,7063.450195,7063.450195,2593390000
NASDAQ Composite,4/2/2018,7016.169922,7044.709961,6805.959961,6870.120117,6870.120117,2402670000
NASDAQ Composite,4/3/2018,6924.350098,6963.709961,6835.22998,6941.279785,6941.279785,2330900000
NASDAQ Composite,4/4/2018,6811.77002,7059.290039,6811.77002,7042.109863,7042.109863,2261580000
NASDAQ Composite,4/5/2018,7099.25,7112.379883,7036.620117,7076.549805,7076.549805,2153030000
NASDAQ Composite,4/6/2018,6999.569824,7066.640137,6877.759766,6915.109863,6915.109863,2359780000
NASDAQ Composite,4/9/2018,6971.450195,7074.950195,6944.959961,6950.339844,6950.339844,2089220000
NASDAQ Composite,4/10/2018,7060.990234,7117.97998,7014.879883,7094.299805,7094.299805,2252020000
NASDAQ Composite,4/11/2018,7055,7128.540039,7055,7069.029785,7069.029785,1882090000
NASDAQ Composite,4/12/2018,7112.02002,7166,7105.089844,7140.25,7140.25,2027080000
NASDAQ Composite,4/13/2018,7179.620117,7183.620117,7078.140137,7106.649902,7106.649902,1768160000
NASDAQ Composite,4/16/2018,7153.870117,7178.509766,7115.850098,7156.279785,7156.279785,1800450000
NASDAQ Composite,4/17/2018,7215.120117,7298.589844,7206.549805,7281.100098,7281.100098,1935380000
NASDAQ Composite,4/18/2018,7292.379883,7319.580078,7259.899902,7295.240234,7295.240234,1908700000
NASDAQ Composite,4/19/2018,7258.609863,7277.450195,7215.169922,7238.060059,7238.060059,1982090000
